sale_id,sale_date,city,category,product,quantity,unit_price,total_amount
1,2025-03-12,Kolkata,Electronics,Laptop,2,1928,3856
2,2025-05-20,Kolkata,Clothing,Shirt,1,4937,4937
3,2025-01-24,Lucknow,Grocery,Rice,2,2005,4010
4,2025-02-20,Pune,Books,Novel,5,3536,17680
5,2025-03-13,Pune,Clothing,T-shirt,1,1407,1407
6,2025-02-09,Mumbai,Grocery,Sugar,2,2857,5714
7,2025-01-25,Bangalore,Electronics,Laptop,3,2917,8751
8,2025-04-28,Lucknow,Books,Comics,5,1122,5610
9,2025-03-17,Pune,Grocery,Rice,5,3062,15310
10,2025-01-18,Kolkata,Books,Notebook,1,1966,1966
11,2025-01-26,Delhi,Furniture,Chair,4,2377,9508
12,2025-04-05,Delhi,Grocery,Sugar,3,1816,5448
13,2025-02-13,Pune,Furniture,Chair,5,2105,10525
14,2025-03-11,Bangalore,Clothing,T-shirt,5,1899,9495
15,2025-01-09,Delhi,Furniture,Chair,3,3386,10158
16,2025-05-26,Delhi,Furniture,Chair,3,1841,5523
17,2025-04-28,Kolkata,Grocery,Milk,2,2269,4538
18,2025-05-24,Kolkata,Clothing,Jeans,5,2252,11260
19,2025-04-13,Pune,Books,Biography,3,1896,5688
20,2025-01-13,Lucknow,Clothing,T-shirt,1,1352,1352
21,2025-01-17,Pune,Clothing,T-shirt,4,3226,12904
22,2025-03-06,Pune,Books,Biography,5,194,970
23,2025-03-29,Kolkata,Electronics,Headphones,1,2504,2504
24,2025-01-01,Bangalore,Grocery,Oil,3,4200,12600
25,2025-03-18,Kolkata,Clothing,Shirt,5,1729,8645
26,2025-05-19,Delhi,Clothing,Jacket,5,104,520
27,2025-01-05,Bangalore,Books,Comics,1,3073,3073
28,2025-03-03,Lucknow,Furniture,Table,5,745,3725
29,2025-05-17,Lucknow,Electronics,Tablet,2,1151,2302
30,2025-05-16,Mumbai,Grocery,Oil,5,3566,17830
31,2025-03-21,Kolkata,Clothing,Jeans,4,3159,12636
32,2025-03-05,Lucknow,Grocery,Milk,2,624,1248
33,2025-05-22,Pune,Furniture,Chair,2,4920,9840
34,2025-01-16,Lucknow,Clothing,Shirt,2,652,1304
35,2025-05-12,Lucknow,Electronics,Headphones,2,2381,4762
